,zip,Total Population,Unemployment Rate,Per Capita Income,Percent Insured,hospital facilities,doctors,nml_emp,nml_inc,nml_ins,color_key_inc,color_key_emp,color_key_ins
93,20540,0,0,0.0,0.0,,,1.0,0.0,0.0,#440154,#fde725,#440154
94,20551,0,0,0.0,0.0,,,1.0,0.0,0.0,#440154,#fde725,#440154
95,20553,0,0,0.0,0.0,,1.0,1.0,0.0,0.0,#440154,#fde725,#440154
96,20560,0,0,0.0,0.0,,,1.0,0.0,0.0,#440154,#fde725,#440154
97,20565,0,0,0.0,0.0,,,1.0,0.0,0.0,#440154,#fde725,#440154
98,20566,0,0,0.0,0.0,,,1.0,0.0,0.0,#440154,#fde725,#440154
99,20593,0,0,0.0,0.0,,18.0,1.0,0.0,0.0,#440154,#fde725,#440154
100,20601,20129,3,39833.0,95.3,,,0.97,0.1336099473717753,0.953,#472f7d,#ece51b,#dfe318
101,20602,20208,5,33458.0,96.9,,,0.95,0.1122265864776657,0.9690000000000001,#482878,#dfe318,#ece51b
102,20603,23759,3,43988.0,96.4,,,0.97,0.14754686729570085,0.9640000000000001,#46337f,#ece51b,#e7e419
103,20606,383,10,32799.0,97.2,,,0.9,0.1100161339554354,0.972,#482878,#bddf26,#ece51b
104,20607,8794,5,47371.0,95.6,,,0.95,0.15889430414350836,0.956,#453781,#dfe318,#e2e418
105,20608,673,14,31069.0,88.4,,,0.86,0.10421327680299468,0.884,#482576,#a2da37,#b2dd2d
106,20609,907,6,25716.0,98.8,,,0.94,0.08625796215732116,0.988,#482071,#d8e219,#f6e620
107,20611,1252,1,43112.0,93.4,,,0.99,0.1446085419398985,0.934,#46337f,#f8e621,#d5e21a
108,20612,422,0,27874.0,87.7,,,1.0,0.09349643946077034,0.877,#482173,#fde725,#addc30
109,20613,11398,5,44833.0,94.1,,,0.95,0.15038121081813577,0.941,#463480,#dfe318,#d8e219
110,20615,438,24,46678.0,89.7,,,0.76,0.15656980702984277,0.897,#453781,#63cb5f,#bade28
111,20616,4871,2,35444.0,93.8,,,0.98,0.11888813231856009,0.938,#472a7a,#f1e51d,#d8e219
112,20617,615,8,39393.0,100.0,,,0.92,0.1321340761884956,1.0,#472e7c,#cae11f,#fde725
113,20618,354,0,41842.0,99.0,,,1.0,0.14034864102452294,0.99,#46307e,#fde725,#f8e621
114,20619,9248,3,40749.0,95.4,,,0.97,0.13668244283514855,0.9540000000000001,#472f7d,#ece51b,#e2e418
115,20620,1252,1,36246.0,96.7,,,0.99,0.1215782429753563,0.9670000000000001,#472c7a,#f8e621,#eae51a
116,20621,852,5,33953.0,96.3,,,0.95,0.1138869415588554,0.963,#482979,#dfe318,#e7e419
117,20622,4641,3,29483.0,86.7,,,0.97,0.09889343203780913,0.867,#482475,#ece51b,#a5db36
118,20623,2599,4,39825.0,94.2,,,0.96,0.13358311335026113,0.9420000000000001,#472f7d,#e5e419,#dae319
119,20624,1062,3,45251.0,97.8,,,0.97,0.1517832884422515,0.978,#463480,#ece51b,#f1e51d
120,20625,553,3,27184.0,97.0,,,0.97,0.09118200510517259,0.97,#482173,#ece51b,#ece51b
121,20626,279,0,80046.0,82.6,,,1.0,0.268494510765474,0.826,#39568c,#fde725,#8bd646
122,20628,138,0,102344.0,87.6,,,1.0,0.34328763723086314,0.8759999999999999,#306a8e,#fde725,#addc30
123,20629,255,0,42834.0,90.4,,,1.0,0.14367605969228087,0.904,#46327e,#fde725,#c0df25
124,20630,291,0,32706.0,100.0,,,1.0,0.1097041884553331,1.0,#482878,#fde725,#fde725
125,20632,310,7,25942.0,100.0,,,0.9299999999999999,0.08701602326509665,1.0,#482071,#d2e21b,#fde725
126,20634,5710,7,34097.0,93.2,,,0.9299999999999999,0.11436995394611058,0.932,#482979,#d2e21b,#d2e21b
127,20636,8660,3,41815.0,97.1,,,0.97,0.1402580762019126,0.971,#46307e,#ece51b,#ece51b
128,20637,4333,4,46109.0,96.1,,,0.96,0.15466123724964698,0.961,#453581,#e5e419,#e7e419
129,20639,11651,6,44349.0,94.6,,,0.94,0.1487577525165281,0.946,#463480,#d8e219,#dde318
